Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
How do I upgrade to a higher-tier support plan?	If you purchased your support plan through the Azure website or Azure portal, or if you have one under a Microsoft Customer Agreement, you may cancel your existing plan and then purchase a higher-tier plan in the [Azure portal](https://portal.azure.com/?quickstart=true&CAF=true#blade/Microsoft_Azure_Support/HelpAndSupportBlade/overview).\n\nIf you have an Enterprise Agreement, contact your Microsoft representative or partner.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	31
How do I change or cancel my support plan?	If you purchased your support plan through the Azure website or Azure portal, or if you have one under a Microsoft Customer Agreement, you can make changes in the Azure portal. To cancel your support plan please follow the instructions [here](https://go.microsoft.com/fwlink/?LinkId=2150462&clcid=0x409).\n\nIf you have questions about changing or canceling your support plan, [create a new support request](https://portal.azure.com/#blade/Microsoft_Azure_Support/HelpAndSupportBlade). For **Issue type***, select **Subscription management***. Select the applicable support plan, and then select **Request for cancellation of a subscription***. Because support plans are billed monthly, you won’t get a prorated refund if you cancel before the end of the month.\n\nIf you purchased your support plan through a Microsoft representative or partner, contact them for assistance.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	32
When will I be billed for my support plan?	You’ll be billed monthly. See the [Azure Cost Management and Billing documentation](https://docs.microsoft.com/en-us/azure/billing/) for more information.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	33
When will my support plan be renewed?	If you purchased your support plan through the Azure website or Azure portal, or if you have one under a Microsoft Customer Agreement, we’ll automatically renew it using the payment method on file.\n\nIf you purchased your support plan through a Microsoft representative or partner, they’ll notify you when it’s time to renew.\n\n## Azure Support for Enterprise Agreement (EA)	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	34
How do I purchase an Azure Support plan under an Enterprise Agreement?	Enterprise Agreement (EA)customers can purchase Azure Standard and ProDirect technical support through their reseller or Microsoft sales representative. Developer support is not available through an EA. For customers interested in Unified or Premier Support, please work with a Microsoft sales representative.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	35
How do I upgrade to a higher-tier Azure Support plan?	Enterprise Agreement (EA) customers can purchase an upgrade to move from Standard to Professional Direct, where available. To purchase the upgrade, contact your Large Account Reseller (LAR).	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	36
I have multiple EA enrollments. Do I need a support plan for each EA enrollment?	Yes, each EA enrollment requires a separate support plan. If you have one Azure Support plan and multiple EA enrollments, then support is only covered under the enrollment the support plan is tied to. Please note that if you have multiple Azure subscriptions under a single EA enrollment with a support plan, then all those subscriptions will have access to Technical Support.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	37
I've purchased support through my Enterprise Agreement (EA), but access to technical support is not enabled yet. How do I get technical support during this interim period?	If you have already placed an order for a support plan via EA and the order is pending, you can be temporarily enabled to receive technical support. To do so, please submit a “Subscription Management” support request via the Microsoft [Azure Portal](https://portal.azure.com/) and indicate the plan that you ordered (Standard or Professional Direct) and provide a description of the issue. A support engineer will then contact you. \n\n## Azure Support for Premier	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	38
How do I submit an Azure support request using my Premier contract?	You need to make sure that your Premier contract appears in the “Support Plan” dropdown when creating a support case. This is possible through the following options:\n\n**Microsoft pre-matching:** In most cases, your Microsoft Premier team will have already matched your Azure subscriptions to your Premier contract and you will see it appear in the Azure Portal when creating a support case.\n\n**Matching Accounts:** If you login to the Azure Portal with the same Microsoft account user/email address (e.g.: outlook.com, live.com, Hotmail.com) used to access the Microsoft Premier Online portal (premier.microsoft.com), your Premier contract will automatically show up in the Azure Portal.\n\n**Manual Input:** You can link your Premier contract to your Azure account, by entering your Premier Access ID and Contract ID information in the Azure Portal by selecting “Help + Support” in the Azure Portal and selecting “Link support contract” from the left-hand side menu. This is a one-time process and your Premier contract information will be saved with your Azure account, being accessible from all subscriptions where you have Owner/Administrator privileges. Contact your Technical Account Manager (TAM) if you don’t have your access ID and contract ID information.\n\nAlthough Premier customers can continue to use the [Microsoft Premier Online](https://my.visualstudio.com/) portal or phone channels to submit a support request, using the Azure Portal has a number of significant advantages including:\n\n*   Automatically capturing necessary data (account, subscription ID, etc.) and running diagnostics\n\n*   Faster resolution, thanks to the auto-captured data\n\n*   Ability to create severity A/1 cases online\n\n*   Providing you with in-context help regarding the issue you’re facing	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	39
How do I purchase a Premier support contract?	To purchase Premier support you should contact your Microsoft Account Manager. If you are not sure who to contact, please submit a request through the [Premier contact form](https://partner.microsoft.com/support).	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	40
What if I already have a Premier contract and I want to learn more about how to get the most from it?	Contact your Technical Account Manager (TAM) to discuss options for best utilizing your existing Premier support agreement or rightsizing your Premier agreement to better suit your Azure needs. You can find your TAM’s name and contact information on the [Microsoft Premier Online](https://portal.azure.com/) portal.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	41
What are Azure Rapid Response and Azure Event Management?	Enterprise Support customers have the option to purchase Azure Rapid Response, an annual plan which provides expedited response and recovery services for Azure outages. Azure Event Management is a short-term program that helps customers with planned events involving heavy Azure dependency, also offering a 15-minute response time during the event itself.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	42
Can Partners use the Premier Support for Partner (PSfP) contract for Azure Support?	Yes, Partners with Premier Support for Partners (PSfP) contracts are able to use their benefits to get Azure Support for their internal needs, as well as to assist their customers, as long as the Partner has been delegated admin/owner access to their customer’s Azure subscription. See FAQ above on how to submit a support request using your Premier contract.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	43
What is the Premier Cloud Service Dependency Map (CSDM)?	The Cloud Service Dependency Map (CSDM) documents critical system dependencies, both upstream and downstream, that could impact your cloud services. This will help your IT staff recognize potential issues before they happen, and help them resolve issues faster when a problem happens.\n\n## Azure Support for Partner	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	44
I have a Microsoft plan (such as MSDN, BizSpark or TechNet) that includes as a benefit a number of technical support requests. Can I use those for Azure technical support?	Yes, if you are eligible to these benefits and have activated your support access on the [Visual Studio subscription](https://my.visualstudio.com/) portal. Access to Azure technical support requires a [paid support plan](https://azure.microsoft.com/en-us/support/plans/). However, some Microsoft programs could give you access to Azure technical support via Support Benefits even if you don’t have a paid support plan. If you have these benefits, then from [Azure Portal Support Request Submission](https://portal.azure.com/?#blade/Microsoft_Azure_Support/HelpAndSupportBlade), select “Additional Options” under the “Support Plan” step and enter your Access ID and Contract ID information to proceed.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	45
I am an MPN partner. Can I use my MPN support benefits to submit Azure technical support request?	Yes, if you are eligible for such benefits. Check the [MPN Portal](https://partner.microsoft.com/support) for details on your support benefits. If you have these benefits, then submit a support request from the Azure Portal. Then, select “Additional Options” under the “Support Plan” step and enter your Access ID and Contract ID information to proceed.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	46
Are MPN partners able to use their on-premise MPN support benefits to get access to Azure Technical support?	Yes. MPN partners can use the same MPN benefits they have for other Microsoft products to receive Azure Technical support. To submit a new support request from the [Azure Portal](https://portal.azure.com/), in the support request’s Step 4, select "Additional Support Options" and enter your Access ID and Contract ID information to proceed.	https://azure.microsoft.com/en-us/support/faq/		[]	false	[]	47
Hi	Hello, how can I help?	Editorial		[]	false	[]	48
thank you	Happy to help!	Editorial		[]	false	[]	49
thanks!	Happy to help!  Editorial		[]	false	[]	50
